created_at,entry_id,field1,field2,field3,field4,latitude,longitude,elevation,status
2019-01-27T10:16:57+00:00,1,,,22.2,55.7,,,,
2019-01-27T10:21:57+00:00,2,,,22.5,55.5,,,,
2019-01-27T10:26:27+00:00,3,808.7,889,,,,,,
2019-01-27T10:26:57+00:00,4,,,22.6,54.9,,,,
2019-01-27T10:31:28+00:00,5,815.7,899.8,,,,,,
2019-01-27T10:31:58+00:00,6,,,22.7,54.3,,,,
2019-01-27T10:36:27+00:00,7,819,902,,,,,,
2019-01-27T10:36:57+00:00,8,,,22.9,54.1,,,,
2019-01-27T10:41:57+00:00,9,,,22.9,53.5,,,,
2019-01-27T10:46:27+00:00,10,146.7,162.5,,,,,,
2019-01-27T10:46:57+00:00,11,,,23,53.3,,,,
2019-01-27T10:51:27+00:00,12,271.3,301.7,,,,,,
2019-01-27T10:51:57+00:00,13,,,23,53.1,,,,
2019-01-27T10:56:57+00:00,14,,,23.1,52.8,,,,
2019-01-27T11:01:27+00:00,15,21.3,23.8,,,,,,
2019-01-27T11:01:57+00:00,16,,,23.3,52.7,,,,
2019-01-27T11:06:57+00:00,17,,,23.3,52.7,,,,
2019-01-27T11:11:57+00:00,18,,,23.2,52.4,,,,
2019-01-27T11:16:27+00:00,19,8.9,15.7,,,,,,
2019-01-27T11:17:01+00:00,20,,,23.3,52.4,,,,
2019-01-27T11:21:57+00:00,21,,,23.2,52.4,,,,
2019-01-27T11:26:27+00:00,22,28.4,34,,,,,,
2019-01-27T11:26:58+00:00,23,,,23.3,53,,,,
2019-01-27T11:31:27+00:00,24,244.1,270.9,,,,,,
2019-01-27T11:31:58+00:00,25,,,23.3,52,,,,
2019-01-27T11:36:57+00:00,26,,,23.4,52.3,,,,
2019-01-27T11:41:57+00:00,27,,,23.6,52.1,,,,
2019-01-27T11:46:27+00:00,28,28,49.2,,,,,,
2019-01-27T11:46:58+00:00,29,,,23.4,51.1,,,,
2019-01-27T11:51:27+00:00,30,28.5,45.1,,,,,,
2019-01-27T11:51:58+00:00,31,,,22.3,32.8,,,,
2019-01-27T11:56:27+00:00,32,26.6,41.4,,,,,,
2019-01-27T11:56:58+00:00,33,,,21.7,34.3,,,,
2019-01-27T12:01:57+00:00,34,,,21.6,41.9,,,,
2019-01-27T12:06:27+00:00,35,18.1,30.5,,,,,,
2019-01-27T12:06:58+00:00,36,,,22.2,43.8,,,,
2019-01-27T12:11:27+00:00,37,16.4,25.8,,,,,,
2019-01-27T12:11:58+00:00,38,,,22.5,43.7,,,,
2019-01-27T12:16:57+00:00,39,,,22.6,44.8,,,,
2019-01-27T12:21:57+00:00,40,,,22.8,45.2,,,,
2019-01-27T12:26:27+00:00,41,15.6,27.9,,,,,,
2019-01-27T12:26:58+00:00,42,,,22.9,45.5,,,,
2019-01-27T12:31:57+00:00,43,,,23.1,47.4,,,,
2019-01-27T12:36:27+00:00,44,15.2,24,,,,,,
2019-01-27T12:36:58+00:00,45,,,23,46.7,,,,
2019-01-27T12:41:57+00:00,46,,,23,46.8,,,,
2019-01-27T12:46:57+00:00,47,,,23.1,46.5,,,,
2019-01-27T12:51:27+00:00,48,14.5,24.5,,,,,,
2019-01-27T12:51:58+00:00,49,,,23.1,46.9,,,,
2019-01-27T12:56:57+00:00,50,,,23.1,46.8,,,,
2019-01-27T13:01:57+00:00,51,,,23.1,47.1,,,,
2019-01-27T13:06:57+00:00,52,,,23.1,46.4,,,,
2019-01-27T13:11:58+00:00,53,,,23.2,46.2,,,,
2019-01-27T13:16:27+00:00,54,15.7,24.5,,,,,,
2019-01-27T13:16:58+00:00,55,,,23.1,46.1,,,,
2019-01-27T13:21:27+00:00,56,14.4,25.1,,,,,,
2019-01-27T13:21:58+00:00,57,,,23.1,45.7,,,,
2019-01-27T13:26:57+00:00,58,,,23.2,46.7,,,,
2019-01-27T13:31:27+00:00,59,13,20.6,,,,,,
2019-01-27T13:31:58+00:00,60,,,23.2,46.6,,,,
2019-01-27T13:36:57+00:00,61,,,23.2,47.5,,,,
2019-01-27T13:41:57+00:00,62,,,23.2,47.5,,,,
2019-01-27T13:46:57+00:00,63,,,23.2,47.9,,,,
2019-01-27T13:51:57+00:00,64,,,23.3,47.9,,,,
2019-01-27T13:56:27+00:00,65,11.1,16.7,,,,,,
